순번,상호명,수거종류,수거방법,수거장소(주소),장소구분,수거비용,위도,경도
1865,e편한세상대전에코포레아파트,중소폐가전,수거함 설치,대전광역시 동구 용운로 203 ,공동주택(아파트 등),무상,36.328945, 127.463929
1866,e편한세상아파트,중소폐가전,수거함 설치,대전광역시 대덕구 중리북로 46 ,공동주택(아파트 등),무상,36.367711,127.425032
1868,가양2동행정복지센터,중소폐가전,수거함 설치,대전광역시 동구 흥룡로 33 ,"지자체(구청, 행정복지센터 등)",무상,36.349038, 127.447398
1903,계룡문화아파트,중소폐가전,수거함 설치,대전광역시 중구 천근로69번길 114 ,공동주택(아파트 등),무상,36.313251, 127.405247
1904,계룡아파트,중소폐가전,수거함 설치,대전광역시 중구 계룡로929번길 40 ,공동주택(아파트 등),무상,36.320604, 127.417288
1930,그린타운아파트,중소폐가전,수거함 설치,대전광역시 대덕구 동춘당로 151 ,공동주택(아파트 등),무상,36.366894, 127.435120
1933,금강로하스엘크루 아파트,중소폐가전,수거함 설치,대전광역시 대덕구 대덕대로 1587 ,공동주택(아파트 등),무상,36.453081, 127.422825
1935,금강엑슬루타워 아파트,중소폐가전,수거함 설치,대전광역시 대덕구 대덕대로 1555 ,공동주택(아파트 등),무상,36.451628, 127.420324
1950,금호한사랑아파트,중소폐가전,수거함 설치,대전광역시 중구 동서대로 1388 ,공동주택(아파트 등),무상,36.331829, 127.412705
1961,남대전e편한세상아파트,중소폐가전,수거함 설치,대전광역시 동구 산내로 1330 ,공동주택(아파트 등),무상,36.282463, 127.469153
1968,노은3영무예다음,중소폐가전,수거함 설치,대전광역시 유성구 지족로 92 ,공동주택(아파트 등),무상,36.374608, 127.307030
1973,다사랑아파트,중소폐가전,수거함 설치,대전광역시 대덕구 대덕대로1470번길 55 ,공동주택(아파트 등),무상,36.446966, 127.413645
1990,대미리치빌아파트,중소폐가전,수거함 설치,대전광역시 중구 대흥로111번길 24 ,공동주택(아파트 등),무상,36.324309, 127.424507
1994,대사동 행정복지센터,중소폐가전,수거함 설치,대전광역시 중구 충무로74번길 14 ,"지자체(구청, 행정복지센터 등)",무상,36.316469, 127.424740
1997,대우새여울 아파트,중소폐가전,수거함 설치,대전광역시 대덕구 대청로64번길 41 ,공동주택(아파트 등),무상,36.451036, 127.436779
2001,반석마을 4단지,중소폐가전,수거함 설치,대전광역시 유성구 반석로 46 ,공동주택(아파트 등),무상,36.392120, 127.309567
2003,대전중촌2,중소폐가전,수거함 설치,대전광역시 중구 대전천서로 695 ,공동주택(아파트 등),무상,36.344437, 127.410391
2004,대주파크빌아파트,중소폐가전,수거함 설치,대전광역시 동구 충정로 136 ,공동주택(아파트 등),무상,36.343927, 127.448898
2005,대청동행정복지센터,중소폐가전,수거함 설치,대전광역시 동구 옥천로 633 ,"지자체(구청, 행정복지센터 등)",무상,36.343603, 127.492625
2009,대화동행정복지센터,중소폐가전,수거함 설치,대전광역시 대덕구 동심5길 10 ,"지자체(구청, 행정복지센터 등)",무상,36.366561, 127.411437
2012,대흥동 행정복지센터,중소폐가전,수거함 설치,대전광역시 중구 대흥로 109 ,"지자체(구청, 행정복지센터 등)",무상,36.323408, 127.424201
2013,대흥동 현대1차아파트,중소폐가전,수거함 설치,대전광역시 중구 대흥로 176-15 ,공동주택(아파트 등),무상,36.323718, 127.431817
2014,대흥동 현대2차아파트,중소폐가전,수거함 설치,대전광역시 중구 보문로162번길 23 ,공동주택(아파트 등),무상,36.318748, 127.426825
2019,덕암아파트,중소폐가전,수거함 설치,대전광역시 대덕구 덕암로265번길 81 ,공동주택(아파트 등),무상,36.445910, 127.421896
2042,동일스위트리버스카이,중소폐가전,수거함 설치,대전광역시 대덕구 대청로 43 ,공동주택(아파트 등),무상,36.453069, 127.431538
2049,둔곡우미린,중소폐가전,수거함 설치,대전광역시 유성구 과학성장로 80 ,공동주택(아파트 등),무상,36.454605, 127.364883
2074,목동 행정복지센터,중소폐가전,수거함 설치,대전광역시 중구 목중로39번길 39 ,"지자체(구청, 행정복지센터 등)",무상,36.335914, 127.408511
2075,목동더샵리슈빌,중소폐가전,수거함 선화 설치,대전광역시 중구서로 115 ,공동주택(아파트 등),무상,36.333159, 127.413908
2081,문창동 행정복지센터,중소폐가전,수거함 설치,대전광역시 중구 보문로20번길 38 ,"지자체(구청, 행정복지센터 등)",무상,36.316180, 127.437928
2082,문화1동 행정복지센터,중소폐가전,수거함 설치,대전광역시 중구 문화로 195 ,"지자체(구청, 행정복지센터 등)",무상,36.315285, 127.406461
2083,문화2동 행정복지센터,중소폐가전,수거함 설치,대전광역시 중구 당디로6번길 90 ,"지자체(구청, 행정복지센터 등)",무상,36.307733, 127.399238
2084,문화주공2단지,중소폐가전,수거함 설치,대전광역시 중구 산성로 108-24 ,공동주택(아파트 등),무상,36.309410, 127.399004
